"What (City, State) are you located in?",What's your highest level of education?,Department,How's the employee turnover?,How many years of experience do you have?,What is/was your length of orientation/training?,What is the Nurse - Patient Ratio?,What is your hourly rate ($/hr)?,What's Your Shift Length?,Which Shift?,Other,Full-Time/Part-Time?,"Do you have any special skills that set you apart from other nurses? (examples: CCRN, CNOR, Special Procedures, etc.)",Would you recommend your department to another nurse?,How did you hear about Project Nurse?,Start Date (UTC),Submit Date (UTC)
"Newton, KS",Bachelors,Maternal Child,High,10,Not sure but it wasn't sufficient at this hospital.,"1:1 in labor, 1:4 couplets in post partum",21$/hr,12-Hour,,3pm to 3 am,Full-Time,,No,A coworker,3/16/17 18:45,3/16/17 19:16
Kansas City Kansas ,Associates,Float pool ,Medium,8,6 weeks,1-May,39,12-Hour,Day Shift,,Per-Diem,No,Yes,Facebook ,3/16/17 20:54,3/16/17 20:58
"Kansas City, MO",Bachelors,Emergency ,Medium,3,16 weeks,3:01,$25 ,12-Hour,Mid Shift,,Full-Time,Dept requirements--TNCC and such. I'm working on my CEN currently. ,Yes,Through a Facebook page for KC area nurses. ,3/17/17 1:29,3/17/17 1:37
"Wichita, KS",Associates,Stroke/renal failure,Medium,1,"1 year residency, 6 weeks floor orientation ",1:6/7 nights---1:5/6 days,20.96,12-Hour,Night Shift,,Full-Time,NIHSS certified,No,Facebook,3/17/17 1:43,3/17/17 1:50
"Kansas City, Kansas ",High School / GED,Dermatology ,Medium,2,6 weeks ,40,"$41,000/year",8-Hour,Day Shift,,Full-Time,No,Yes,Facebook ,3/17/17 2:11,3/17/17 2:15
Lees summit missouri,Associates,Multiple sclerosis ,Medium,13,1 week,15,23,8-Hour,Day Shift,,Full-Time,Iv certified ,No,Social media,3/17/17 3:04,3/17/17 3:10
"Wichita,KS",Bachelors,Birthcare Center ,Medium,10,3 months,1:06,25.56,12-Hour,Day Shift,,Full-Time,,Yes,Nurses ICT Facebook page,3/17/17 3:21,3/17/17 3:28
"New York, NY",Bachelors,OB,Low,2,As needed,L/d 2:1,60,,Day Shift,,Full-Time,2 certifications,Yes,Friend,3/17/17 3:24,3/17/17 3:29
"Overland Park, KS ",Bachelors,L&D,Medium,8,12 weeks,1:02,$38/hr,12-Hour,Day Shift,,Full-Time,OBRNC,Yes,Facebook ,3/17/17 4:03,3/17/17 4:09
"Wichita, ks",Associates,Med surg,Medium,4,6 weeks,1:05,26,12-Hour,Day Shift,,Full-Time,,No,Facebook,3/17/17 6:06,3/17/17 6:09
Kansas City mo,Bachelors,Er,Medium,2,6 months ,3-Jan,22.33,12-Hour,Night Shift,,Full-Time,Tncc enpc,Yes,Facebook ,3/17/17 13:33,3/17/17 13:38
Lenexa. Ks,Associates,Nursing Admin,Medium,11,3 shifts,0,46,12-Hour,Night Shift,,Full-Time,No,Yes,Facebook,3/17/17 14:39,3/17/17 14:42
"Wichita, KS",Masters,Emergency department ,Medium,Three months,12 weeks,1:03,$20.08/hr + shift differential,12-Hour,Mid Shift,,Full-Time,MHA,Yes,Nurses ICT,3/17/17 15:11,3/17/17 15:18
"Kansas City, Mo",Bachelors,Med/surg,High,24,4 weeks,1 to 5/6,34$/hr,12-Hour,Day Shift,,Per-Diem,,No,Nurses KC,3/18/17 6:44,3/18/17 6:49
"Kansas City, MO",Bachelors,Labor and Delivery,Medium,12,12 weeks,2:01,31,12-Hour,Day Shift,,Full-Time,,Yes,Nurses KC Facebook page,3/18/17 15:55,3/18/17 16:00
"Blue Springs, MO",Masters,Hospitalist group,Low,3,12 weeks,8,"94,000/year",10-Hour,Day Shift,,Full-Time,Certified in family practice,Yes,From KC Nurse's webpage,3/18/17 15:59,3/18/17 16:03
Kansas City ,Associates,Pharmaceutical ,Low,2,5weeks,175-1,"71,000/yr",8-Hour,Day Shift,,Full-Time,No,Yes,Nurses KC,3/18/17 16:41,3/18/17 16:50
Kansas City. Mo,Bachelors,ICU,High,32,12 weeks ,1:02,36.56,12-Hour,Day Shift,,Full-Time,CNRN ,Yes,Facebook ,3/18/17 16:47,3/18/17 16:52
"Overland Park, KS",Bachelors,,Low,5,6-8 weeks ,1:10,"90,000/year",8-Hour,Day Shift,,Full-Time,,Yes,NurseKC,3/18/17 17:41,3/18/17 17:55
"Overland Park, ks",Bachelors,Orthopedics,High,8,3 weeks,5:01,27.45,12-Hour,Day Shift,,Full-Time,No,No,Nurses kc,3/18/17 18:46,3/18/17 18:53
"Shawnee,ks",Bachelors,Infection control,Low,2,4 months,0:00,27.8,8-Hour,Day Shift,,Full-Time,,Yes,NursesKC,3/18/17 20:19,3/18/17 20:23
"Kansas City, MO",Bachelors,Mother Baby,Medium,35,6 wks,1 to 4-6 couplets,35 per hour,12-Hour,Day Shift,,Full-Time,RNC inpatient OB,No,facebook,3/18/17 20:33,3/18/17 20:42
"Kansas City, MO",Bachelors,Med/Tele,Medium,10 years,6 weeks?,4-6patients:1RN,33.45/hr,12-Hour,Day Shift,,Part-Time,No,No,Nurses KC facebook page.,3/18/17 21:56,3/18/17 22:02
"Kansas City, MO",Bachelors,Orthopedic,High,5,90 days,1:05,$25.00/hr,12-Hour,Day Shift,,Full-Time,"OCN, Bachelor's in Sports Medicine",Yes,NURSESKC,3/18/17 22:12,3/18/17 22:16
"Overland Park, KS",Bachelors,Labor & Delivery,Medium,8,12 weeks,2:01,36/hr prn,12-Hour,Night Shift,,Per-Diem,,Yes,Nurses KC,3/18/17 23:11,3/18/17 23:15
"shawnee mission, kansas",Bachelors,ldr,Medium,10,8 weeks?,1 to 1 or 2,36/hr,12-Hour,Day Shift,,Per-Diem,no,Yes,fb,3/19/17 1:42,3/19/17 1:46
"Kansas City, KS",Bachelors,PACU,Medium,37,??,1:2.ratio  5-6/day,36.69,,Mid Shift,,Full-Time,No,Yes,Facebook,3/19/17 1:35,3/19/17 1:46
KS,Bachelors,,High,4,4 weeks,2 birthing mothers and 1 couplet to 1 nurse,25.00/hr,12-Hour,,Days and nights required,Full-Time,,No,NursesKC,3/19/17 2:09,3/19/17 2:23
"Raytown, Mo",Bachelors,,High,1,2weeks,8-May,36,12-Hour,Day Shift,,Full-Time,"30 years of management . Certified exercise specialist, certified chest pain coordinator",Yes,KC nurses ,3/19/17 2:44,3/19/17 2:49
Kansas city,Bachelors,Burn unit,High,4,13 weeks,4 to 1,26.9,12-Hour,Day Shift,,Full-Time,Burn cert,Yes,Fb,3/19/17 2:54,3/19/17 2:57
"Kansas City, MO",Bachelors,"Pre-op, PACU",High,2,12 weeks,2/3/01,$24 ,8-Hour,Day Shift,,Full-Time,Experienced ICU nurse,No,I was invited to join the page by a nurse friend.,3/19/17 2:50,3/19/17 3:03
"Kansas City, KS",High School / GED,Pulmonary Hypertension Comprehensive Care Center/Med-Tele,Medium,1,3 days,1:7-11,13,12-Hour,Day Shift,,Per-Diem,NA,Yes,Nurses KC,3/19/17 3:22,3/19/17 3:25
"Kansas city, ks",Associates,Med-tele,Medium,<1,12 weeks,5-Apr,23,12-Hour,Day Shift,,Full-Time,,Yes,Nurses KC fb page,3/19/17 3:24,3/19/17 3:30
Overland Park ks,Masters,Er,Medium,36,12 weejs,3-Jan,41,12-Hour,Mid Shift,,Part-Time,,Yes,Internet,3/19/17 4:15,3/19/17 4:20
"Kansas City, MO",Bachelors,Education ,Low,3,3 months ,NA,33,,Day Shift,,Part-Time,"SANE, Crisis Prevention Instructor ",Yes,KC Nurses,3/19/17 5:47,3/19/17 5:56
"Wichita, KS",Associates,Nursing,Medium,3,4 days,1,$17/hour,8-Hour,Mid Shift,,Full-Time,,Yes,Facebook,3/19/17 6:15,3/19/17 6:20
"Kansas City, MO",Associates,Med/Tele,Medium,2,10wk,1:05,27/hr,12-Hour,Night Shift,,Full-Time,N/A,Yes,Nurses KC FB page ,3/19/17 7:15,3/19/17 7:20
"Kansas City, MO",Bachelors,NICU,Low,1,3 months,3-Jan,25.05/hr,12-Hour,Night Shift,,Full-Time,,Yes,Online,3/19/17 9:50,3/19/17 9:57
"Kansas city, mo",Bachelors,Med surg/ Tele,High,1,12 shifts,1:6 nights ,24.04 /hr base pay,12-Hour,Night Shift,,Full-Time,,No,Fb,3/19/17 11:10,3/19/17 11:16
"Kansas City, MO",Bachelors,ER,Medium,15,It varies based on the experience of the nurse. ,4:01,"31.25, plus 3.75 hr differential for midshift (11-11)",12-Hour,Mid Shift,,Full-Time,,No,Nurses KC on Facebook,3/19/17 11:49,3/19/17 11:56
"Burleson, Texas",Masters,ER,High,24,3 weeks,1:05,$40/hr,12-Hour,Night Shift,,Full-Time,"TNCC, PALS, ACLS, BCLS",No,Nurses KC,3/19/17 12:24,3/19/17 12:28
Kansas City Missouri ,Associates,Nursing,Medium,<1,Weeks ,Staff/patient 1:20,"65,000/years ",8-Hour,Day Shift,,Full-Time,,Yes,Nurses KC,3/19/17 13:53,3/19/17 14:02
"Kansas City, MO",Associates,Ortho/Neuro/Trauma,High,3,6weeks,1-Jun,26,12-Hour,Night Shift,,Full-Time,,No,Nurses KC,3/19/17 14:13,3/19/17 14:17
"Kansas city, mo",Associates,Medical telemetry,Medium,2,1 week,4 to 1,27.6,12-Hour,Day Shift,,Full-Time,,Yes,Nurses of Facebook page ,3/19/17 14:13,3/19/17 14:17
"Kansas City, KS",Associates,BHU/ addiction recovery,Medium,4,6 weeks,9-Aug,36/ hr,12-Hour,Day Shift,,Per-Diem,Nope,Yes,KC nurses,3/19/17 14:21,3/19/17 14:25
"Overland Park, KS",Bachelors,Nursing,Medium,7,2 weeks,1:14,$27/hour RN,,Day Shift,,Full-Time,,Yes,Nurses KC,3/19/17 14:24,3/19/17 14:28
"Shawnee, KS",Bachelors,Nursing,Medium,1,6-8 weeks,Outpatient 30:day,20.00/hr,10-Hour,Day Shift,,Per-Diem,,Yes,Facebook,3/19/17 14:59,3/19/17 15:03
"Kansas City, MO",Associates,Rehab unit,High,1,4 days,"1 nurse, 11 patients","50,000/year",12-Hour,Day Shift,,Full-Time,no,Yes,Nurses KC,3/19/17 15:19,3/19/17 15:22
Overland Park Ks,Masters,NICU,Low,24,2mos,1:8-10,$60 ,12-Hour,Day Shift,,Full-Time,QI,Yes,Facebook ,3/19/17 15:39,3/19/17 15:43
"Kansas City, KS",Bachelors,Medical ICU,Medium,1,5 days,1:02,13,,Day Shift,,,,Yes,KC Nurses FB group ,3/19/17 15:49,3/19/17 15:52
"Olathe, KS",Associates,Medical Surgical/Pediatrics,Medium,1,6 weeks,1:5 or 6,24,12-Hour,Night Shift,,Full-Time,ENPC,Yes,Nurses KC,3/19/17 17:01,3/19/17 17:08
"Kansas City, mo",Masters,Medical surgical,Medium,7,6 weeks,5:1 days,27.5,12-Hour,Night Shift,,Full-Time,Cmsrn,Yes,Na,3/19/17 18:14,3/19/17 18:17
"Kansas City, MO",Masters,Women's Services,Low,5,3 months,"1:1 for labor, 3:1 for postpartum",$33/hour,12-Hour,Day Shift,,Per-Diem,FNP-C,Yes,NursesKC,3/19/17 18:44,3/19/17 18:48
"Kansas City, MO",Bachelors,5 Henson/Hall,Medium,22,Don't remember!!,3-4:1,"$65,000/yr- weekend option program",12-Hour,Night Shift,,Part-Time,"CPN, CCRC, experience in clinical research and legal nurse consulting ",No,Through KC Nurse,3/19/17 19:52,3/19/17 20:01
"Wichita,KS",Associates,Postpartum ,Medium,1,3 months ,7-May,19.75,12-Hour,Night Shift,,Full-Time,,Yes,Nurse ICT,3/19/17 22:56,3/19/17 23:00
"Overland Park, KS",Masters,Performance Improvement ,Medium,2,0,NA,$35.36/hr,8-Hour,Day Shift,,Full-Time,MBA in healthcare management ,Yes,Nurse Group on FB,3/20/17 1:11,3/20/17 1:15
"Kansas City, MO",Bachelors,Home Dialysis ,Medium,6.5,3 months ,4,32.51,8-Hour,Day Shift,,Full-Time,,No,KC Nurse Facebook Group,3/20/17 2:42,3/20/17 2:46
"Baltimore, Md",Bachelors,NICU,Medium,39,12 weeks,1:1 to 1:3,49,12-Hour,Day Shift,,Full-Time,No,No,Email,3/20/17 13:35,3/20/17 13:41
Douala,Bachelors,Medecine generale et chirurgie,Medium,3-5 ans,Sciences infirmieres,25 environ,Sans objet,8-Hour,Day Shift,,Full-Time,Sans objet,Yes,By Work in canada as a nurse,3/20/17 16:54,3/20/17 17:06
Douala,Bachelors,"Medecine,chirurgie,maternit̩,pediatrie;neonatologie",Medium,6 ans environ,Sciences infirmi̬res,20-25 patients,sans objet,8-Hour,Day Shift,,Full-Time,Enseignante en sciences infirmi̬res,Yes,Simpli.com,3/20/17 17:08,3/20/17 17:16
ne,Bachelors,n,High,r,5,6,5,12-Hour,Day Shift,,Full-Time,r,Yes,f,3/21/17 0:40,3/21/17 0:44
"Kansas City, Mo",Bachelors,Step Down,High,25,6 weeks,1:04,32/hour,12-Hour,Day Shift,,Per-Diem,Magnet Committee ,Yes,NursesKC Facebook Page,3/21/17 3:52,3/21/17 3:58
Wichita ks,Bachelors,LDR,Medium,7,8 weeks,4,23,8-Hour,Day Shift,,Full-Time,,Yes,Facebook ,3/22/17 2:08,3/22/17 2:11
Kansas City,Bachelors,Float Pool,Medium,3,3,5,25.99,12-Hour,Night Shift,,Full-Time,ACLS,Yes,Nurses kc,3/22/17 3:26,3/22/17 3:29
"Kansas City, KS",Bachelors,LPN program,Low,3,About an hour,7 students to 1 instructor,$45 ,8-Hour,Day Shift,,Part-Time,,Yes,AWHONN,3/22/17 11:56,3/22/17 12:02
"Olathe, KS",Bachelors,PN program,High,2,About a month,No.more than 10:1,"Varies depending on experience and master grid, 15 yrs experience started me at $63,000",,Day Shift,,Full-Time,,No,Nurses KC,3/22/17 12:04,3/22/17 12:10
"Chattanooga, TN",Bachelors,Med/Surg,Medium,1,6 weeks,1:05,$20.71/hr,,Day Shift,,Full-Time,"ACLS certified, BSN education",Yes,Facebook,3/22/17 16:45,3/22/17 16:49
"Palo Alto, CA",Masters,Labor and Delivery,Low,16,6 months,1:02,$101.00/hr (night shift),12-Hour,Night Shift,,Part-Time,"RNC, Chage Nurse",Yes,Facebook,3/22/17 16:47,3/22/17 16:53
"Kansas City, mo",Associates,Surgery,Low,3,8 months,1:01,25/hr,8-Hour,Day Shift,,Full-Time,O.R.,Yes,Facebook,3/22/17 22:02,3/22/17 22:07
"Wichita, KS",Bachelors,"Via Christi Direct (transfer center, aka Patient Placement)",High,34,6 weeks,"Floors are 6-7, ICU's usually tripled.",$33/hr,12-Hour,Day Shift,,Full-Time,"Varied experiences ranging from Neonatal and Pediatric ICU's to Trauma/Burn ICU, as well as Peds sedation RN",No,ICT Nurses Facebook page ,3/23/17 3:54,3/23/17 4:03
"West Hills, CA",Masters,Maternal Child Health,Low,20,2 months,L&D 1:2,"$122,00/year",8-Hour,Day Shift,,Full-Time,"AWHONN FHM Instructor, Certifications in FHM and Obstetrical Nursing",Yes,AWHONN,3/23/17 16:02,3/23/17 16:09
"Kansas city, mo",Associates,Hospice,Medium,0,4 weeks,1:05,30/hour,8-Hour,Day Shift,,Full-Time,No,Yes,Nyrses kc,3/24/17 13:17,3/24/17 13:21
CEBU CITY PHILIPPINES,Bachelors,ADMIN,Medium,7MONTHS,,0.083333333,"13,000/MONTH",8-Hour,,,Full-Time,,No,,3/24/17 13:50,3/24/17 13:55
"Chapel Hill, NC",Bachelors,Radiation Oncology,Low,9,3 months,20,32,,Day Shift,,Full-Time,"CPHON, BSN",Yes,Physician colleague,3/24/17 18:01,3/24/17 18:05
"San Diego, CA ",Bachelors,Primary Care,Low,6,3 months,0-6,50,8-Hour,Day Shift,,Part-Time,None ,Yes,Friend,3/29/17 2:50,3/29/17 3:02
"San diego, ca",Bachelors,Labor and delivery,High,18,12 weeks,1:02,49.65,12-Hour,Night Shift,,Full-Time,RNC,Yes,Facebook,3/29/17 5:34,3/29/17 5:43
"houston, tx",Bachelors,Emergency Center,High,1,6 months,4:01,32,12-Hour,Night Shift,,Full-Time,"TNCC",Yes,MD coworker that works in the EC.,3/29/17 7:32,3/29/17 7:36
"Wichita, KS",Associates,Hospitalist stroke unit,Medium,3yrs,6wks,7-Jun,1400/biweek,12-Hour,Night Shift,,Full-Time,,Yes,Posting,3/29/17 22:39,3/29/17 22:46
"San Diego, CA",Bachelors,Surgery,Low,24,7 months,1:01,$59.14 an hour,12-Hour,Mid Shift,,Full-Time,,Yes,A nursing friend.  ,3/31/17 14:57,3/31/17 15:01
